title2,description4,category
1. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_001.jpg"" alt=""תמרור עצור"" title=""traffic_sign"" /><ol><li><span>אסורה הכניסה לכלי רכב</span></li><li><span>חובה לעצור ולתת זכות קדימה</span></li><li><span>דרך ללא מוצא</span></li><li><span>אסורה החניה</span></li></ol><span id=""correctAnswer1"">חובה לעצור ולתת זכות קדימה</span>",תמרורים
2. איזה מהמהירויות הבאות מותרת בכביש חוץ-עירוני?,"<ol><li><span>70 קמ""ש</span></li><li><span>100 קמ""ש</span></li><li><span>120 קמ""ש</span></li><li><span>90 קמ""ש</span></li></ol><span id=""correctAnswer2"">90 קמ""ש</span>",חוקי התנועה
3. מתי חובה להדליק אורות?,"<ol><li><span>רק בלילה</span></li><li><span>בכל שעות היום</span></li><li><span>רק בערפל</span></li><li><span>רק כאשר הראות מוגבלת</span></li></ol><span id=""correctAnswer3"">בכל שעות היום</span>",בטיחות
4. מה עליכם לעשות אם נפגעתם בתאונת דרכים?,"<ol><li><span>לנסוע הביתה מיד</span></li><li><span>לקרוא לעזרה רפואית במידת הצורך</span></li><li><span>לצלם רק את הנזק לרכב</span></li><li><span>לא לדווח למשטרה</span></li></ol><span id=""correctAnswer4"">לקרוא לעזרה רפואית במידת הצורך</span>",עזרה ראשונה
5. מה פירוש התמרור בתמונה?,"<img src=""https://www.gov.il/BlobFolder/generalpage/exam_theory_bank/he/theory_bank_files/pic/traffic_sign_002.jpg"" alt=""תמרור אסור לעבור"" title=""traffic_sign"" /><ol><li><span>אסורה הכניסה לכלי רכב</span></li><li><span>חובה לעצור</span></li><li><span>דרך ללא מוצא</span></li><li><span>אסורה החניה</span></li></ol><span id=""correctAnswer5"">אסורה הכניסה לכלי רכב</span>",תמרורים
6. איזה בדיקה חובה לבצע לפני נסיעה?,"<ol><li><span>בדיקת מפלס השמן</span></li><li><span>בדיקת הרדיו</span></li><li><span>בדיקת המזגן</span></li><li><span>בדיקת הסטריאו</span></li></ol><span id=""correctAnswer6"">בדיקת מפלס השמן</span>",הכרת הרכב
7. מה המרחק המינימלי הנדרש מרכב לרכב בכביש מהיר?,"<ol><li><span>10 מטר</span></li><li><span>20 מטר</span></li><li><span>50 מטר</span></li><li><span>100 מטר</span></li></ol><span id=""correctAnswer7"">50 מטר</span>",בטיחות
8. מה חובת הנהג כאשר מתקרב רכב חירום?,"<ol><li><span>להמשיך לנסוע כרגיל</span></li><li><span>לפנות את הדרך</span></li><li><span>להאיץ</span></li><li><span>לעצור במקום</span></li></ol><span id=""correctAnswer8"">לפנות את הדרך</span>",חוקי התנועה
9. איך מטפלים בפצוע מחוסר הכרה?,"<ol><li><span>נותנים לו מים</span></li><li><span>בודקים נשימה ודופק</span></li><li><span>מעבירים אותו למקום אחר</span></li><li><span>מנסים להעיר אותו</span></li></ol><span id=""correctAnswer9"">בודקים נשימה ודופק</span>",עזרה ראשונה
10. מה הגורם העיקרי לתאונות דרכים?,"<ol><li><span>מזג אוויר קשה</span></li><li><span>כשל מכני</span></li><li><span>טעות אנוש</span></li><li><span>כביש פגום</span></li></ol><span id=""correctAnswer10"">טעות אנוש</span>",בטיחות
